task_id,group3,occupation_title,task_text,human_score_E0_E1_E2,notes
5223.0100-t05,522,Shop Assistant; Counterhand,Informs Salesman or Dealer items of goods which are in short supply and w hich need to be replenished.,"",""
5223.0100-t06,522,Shop Assistant; Counterhand,"Takes delivery of goods purchased from manufacturer agents, dealers, Railway stations etc.","",""
5223.0100-t07,522,Shop Assistant; Counterhand,Assists Dealers in stock-taking and performs all other duties as assigned to him by Dealer or Salesman.,"",""
5223.0100-t08,522,Shop Assistant; Counterhand,"May prepare bills, receive payme nt, check stock and maintain stock register.","",""
5223.0100-t09,522,Shop Assistant; Counterhand,May be designated according to commodity sold.,"",""
5414.0101-t01,541,Security Officer,"Makes arrangements to guard industrial plants, establishments, buildings and other property from fire, thefts, pilferage and unauthorized entry, and enforces such preventive measures as necessary to eliminate them.","",""
5414.0101-t02,541,Security Officer,"Plans, controls and supervises security arrangements of industrial plants, establishments, buildings, men , material and other moveable and immovable property against fire, thefts; pilferage, unauthorized entry and personal hazards.","",""
5414.0101-t03,541,Security Officer,"Allots duties to security personnel at the gates of workshops, stores, ware-houses, water works and administrative buildings to c heck unauthorized entry of men and passage of material.","",""
5414.0101-t04,541,Security Officer,Issues gate passes to visitors desiring entry into restricted premises and checks security personnel on duty.,"",""
5414.0101-t05,541,Security Officer,Enquires in to complaints of unauthorized entry of men and material and cases of theft etc . and reports the matter to police for further action.,"",""
5414.0101-t06,541,Security Officer,Maintains discipline amongst security personnel.,"",""
5414.0101-t07,541,Security Officer,"Looks after welfare of security personnel such as housing, messing, arranges their transfers from one department to another; assists firefighting personnel in case of fires.","",""
5120.0200-t01,512,"Cook, Institutional","Prepares, seasons and cooks soups, meats, vegetables, desserts and other foodstuffs for consumption in hotels, restaurants and other establishments.","",""
5120.0200-t02,512,"Cook, Institutional","Fries, boils, broils, roasts or steams vegetables, meats, fish and other food to prepare dishes listed on menu and prepares sala ds, sandwiches, cakes, fruit juices and other cold foods.","",""
5120.0200-t03,512,"Cook, Institutional",Supervises dish washing and preparing of vegetables and other foodstuffs for cooking.,"",""
5120.0200-t04,512,"Cook, Institutional","May specialize in preparing a particular type of food, such as meat, salad, pastry or vegetables, and be designated accordingly.","",""
5211.0100-t01,521,Advertising Sales Agent/Advertising Executive,"Sells or solicits advertising, including graphic art, advertising space in publications, custom made signs, or TV and radio advertising time.","",""
5211.0100-t02,521,Advertising Sales Agent/Advertising Executive,May obtain leases for outdoor advertising sites or persuade retailer to use sales promotio n display items.,"",""
5211.0100-t03,521,Advertising Sales Agent/Advertising Executive,"Consults with company officials, sales departments, and advertising agencies in order to develop promotional plans.","",""
5211.0100-t04,521,Advertising Sales Agent/Advertising Executive,Delivers advertising or illustration proofs to customers for approval.,"",""
5211.0100-t05,521,Advertising Sales Agent/Advertising Executive,"Draws up contracts for advertising work, and collect payments due.","",""
5211.0100-t06,521,Advertising Sales Agent/Advertising Executive,Explains to customers how specific types of advertising will help promote their products or services in the most effective way possible.,"",""
5211.0100-t07,521,Advertising Sales Agent/Advertising Executive,"Identifies new advertising markets, and propose products to serve them.","",""
5211.0100-t08,521,Advertising Sales Agent/Advertising Executive,Locates and contact potential cl ients in order to offer advertising services.,"",""
5211.0100-t09,521,Advertising Sales Agent/Advertising Executive,Maintains assigned account bases while developing new accounts.,"",""
5211.0100-t10,521,Advertising Sales Agent/Advertising Executive,"Obtains and studies information about clients' products, needs, problems, advertising history, and business practices in order to offer effective sales presentations and appropriate product assistance.","",""
5211.0100-t11,521,Advertising Sales Agent/Advertising Executive,"Prepares and delivers sales presentations to new and existing customers in order to sell new advertising programmes, and to protect and increase existing advertising.","",""
5244.0100-t01,524,"Operator, Call Centre","Call Centre Operator s, Call Centre Operator receives telephone calls from potential clients and existing customers regarding the products and services offered by an organization.","",""
5244.0100-t02,524,"Operator, Call Centre","They answer incoming telephone calls from existing or prospective customers; interviews caller to establish the nature of any complaint or the requirements of the client; informs customers on any immediate action to be taken, advises on servic es available and sells additional products or services; maintains details of calls received, the action taken as a result of a call and updates customer records as required; arrange for field staff to visit the caller if further assistance is required.","",""
5244.0100-t03,524,"Operator, Call Centre",May also be called Call Centre Information Clerk.,"",""
5142.0100-t01,514,Beautician,gives various forms of beauty treatment to clients.,"",""
5142.0100-t02,514,Beautician,Examines client s’ skin and sugg ests suitable treatment.,"",""
5142.0100-t03,514,Beautician,"Applies lotions, creams and packs to stimulate circulation, lubricate tissues and remove wrinkles and lines.","",""
5142.0100-t04,514,Beautician,"Massages face, neck, arms, legs or other parts of body and gives treatment for superficial skin blemishes.","",""
5142.0100-t05,514,Beautician,Removes superfl uous hair by wax treatment or other method.,"",""
5142.0100-t06,514,Beautician,"Shapes, colours and otherwise treats eyebrows and eyelashes and applies cosmetics and advises on suitable make-up.","",""
5142.0100-t07,514,Beautician,"May cut, comb and wave hair according to clients ’ instructions or according to particular style, tint or dye hair, and give scalp treatment.","",""
5142.0100-t08,514,Beautician,"May clean, shape and polish finger nails.","",""
5151.0101-t01,515,House Keeper (Institutional)/Housekeeping Supervisor,"Supervises work of staff engaged in cleaning rooms, lounges and dining halls of hotel.","",""
5151.0101-t02,515,House Keeper (Institutional)/Housekeeping Supervisor,Assigns duties to staff and visits periodically all portions of hotel to assure that areas a re clean and tidy.,"",""
5151.0101-t03,515,House Keeper (Institutional)/Housekeeping Supervisor,Reports any defects in electrical and water systems.,"",""
5151.0101-t04,515,House Keeper (Institutional)/Housekeeping Supervisor,Arranges to have rooms and public places periodically white-washed or painted.,"",""
5151.0101-t05,515,House Keeper (Institutional)/Housekeeping Supervisor,"Indents for fresh supply of linen, and discards worn out items and greets guests in their rooms and enqui res about their comfort.","",""
5151.0101-t06,515,House Keeper (Institutional)/Housekeeping Supervisor,Keeps custody of luggage left temporarily by residents.,"",""
5151.0101-t07,515,House Keeper (Institutional)/Housekeeping Supervisor,"Supervises work of Lascars Porter (Hotel, Sweepers, Room Boys, Lift Boys and Linen Keeper).","",""
5131.0100-t01,513,Butler,serves or supervises serving of foods and beverages and performs additional services in private households.,"",""
5131.0100-t02,513,Butler,"Sets or supervises setting of table for meals and for special occasions, by bearers.","",""
5131.0100-t03,513,Butler,Serves or supervises serving of meals and wines and removes or directs removal of dishes between courses.,"",""
5131.0100-t04,513,Butler,Prepares or supervises preparation of fancy uncooked dishes such as fruit cocktails and salad.,"",""
5131.0100-t05,513,Butler,"Prepares and serves tea, coffee, liquors and accompanying foods and performs additional services such as receiving guests.","",""
5131.0100-t06,513,Butler,May supervise cleaning of dining room.,"",""
6111.0100-t01,611,"Cultivators, General; Farmer, General","grows crops, vegetables, fruits, etc. depending upon soil, irrigation facilities, market, etc., and sells produce.","",""
6111.0100-t02,611,"Cultivators, General; Farmer, General","Determines crops to be grown depending on nature of soil, climate, irrigation and marketing facilities.","",""
6111.0100-t03,611,"Cultivators, General; Farmer, General","Selects and purchases good seed, fertiliser, implements and other items of farm equipment including machinery.","",""
6111.0100-t04,611,"Cultivators, General; Farmer, General","Clears field of stones, grass, shrubs, trees etc., using hand tools.","",""
6111.0100-t05,611,"Cultivators, General; Farmer, General",Prepares plots by raising ‘bund’ (earthwork) around them for retention of water.,"",""
6111.0100-t06,611,"Cultivators, General; Farmer, General",Tills land using plough or tractor and breads loads.,"",""
6111.0100-t07,611,"Cultivators, General; Farmer, General",Sows seeds and levels earth.,"",""
6111.0100-t08,611,"Cultivators, General; Farmer, General",Makes channels connecting land to source of water for irrigation.,"",""
6111.0100-t09,611,"Cultivators, General; Farmer, General",Conducts weeding and hoeing to conserve moisture.,"",""
6111.0100-t10,611,"Cultivators, General; Farmer, General",Prepares manure by collecting and storing farmyard refuse into ditch and covering it with earth.,"",""
6111.0100-t11,611,"Cultivators, General; Farmer, General","Sprays insecticides, evolves measures to protect crops from destruction by plant diseases and wild animals and nurses growing crops by picking wild growth.","",""
6111.0100-t12,611,"Cultivators, General; Farmer, General",Harvests matured crops using sickle etc.,"",""
6111.0100-t13,611,"Cultivators, General; Farmer, General",Collects harvested crop into bundles and carries it to the threshing ground when completely dried by sun.,"",""
6111.0100-t14,611,"Cultivators, General; Farmer, General",Threshes harvested crop by treading bullocks or machine.,"",""
6111.0100-t15,611,"Cultivators, General; Farmer, General",Separates grain from straw by winnowing.,"",""
6111.0100-t16,611,"Cultivators, General; Farmer, General","Bags corn, bundles straw and stores corn in godown.","",""
6111.0100-t17,611,"Cultivators, General; Farmer, General",Sells produce in ma rket.,"",""
6111.0100-t18,611,"Cultivators, General; Farmer, General",Hires labourers when necessary and supervises their work.,"",""
6111.0100-t19,611,"Cultivators, General; Farmer, General","Maintains equipment , building, fences etc. in good order.","",""
6111.0100-t20,611,"Cultivators, General; Farmer, General","May operate tractor, winnowing, threshing and other machines.","",""
6111.0100-t21,611,"Cultivators, General; Farmer, General",May breed animals.,"",""
6111.0100-t22,611,"Cultivators, General; Farmer, General",May do share cropping or take land on lease for cultivation.,"",""
6121.0100-t01,612,"Farmer, Livestock",Manages farm on own account for raising and breeding different kinds of livestock.,"",""
6121.0100-t02,612,"Farmer, Livestock","Selects and purchases animals, arranges sheds, stables etc. to shelter animals from weather and gets enclosures put up for their safety.","",""
6121.0100-t03,612,"Farmer, Livestock",Determines amount of basic feed required to feed animals and stock fodder and other feeding material through purchases.,"",""
6121.0100-t04,612,"Farmer, Livestock",Arranges grazing of livestock on availa ble pastures and ensures by constant watch that animals do not go astray or get lost.,"",""
6121.0100-t05,612,"Farmer, Livestock",Restrains them from drinking polluted water.,"",""
6121.0100-t06,612,"Farmer, Livestock",Examines and treats animals for minor injuries and infection.,"",""
6121.0100-t07,612,"Farmer, Livestock",Arranges proper medical aid in serious cases.,"",""
6121.0100-t08,612,"Farmer, Livestock",Trains to cultivate desirable habits in animals.,"",""
6121.0100-t09,612,"Farmer, Livestock",Selects and pairs pedigree animals for breeding.,"",""
6121.0100-t10,612,"Farmer, Livestock",Gets animals bred by artificial insemination if necessary.,"",""
6121.0100-t11,612,"Farmer, Livestock",Tends animals during birth and protects and guards young animals.,"",""
6121.0100-t12,612,"Farmer, Livestock",Performs tasks connected with milking.,"",""
6121.0100-t13,612,"Farmer, Livestock","Mark ets milk, and animals for meat, breeding etc.","",""
6121.0100-t14,612,"Farmer, Livestock",Gets animals inoculated and vaccinated in time and adopts preventive measures in case of outbreak of epidemic.,"",""
6121.0100-t15,612,"Farmer, Livestock","Keeps records of feed consumed, milk and other items produced and stock sold or purchased.","",""
6121.0100-t16,612,"Farmer, Livestock","Attends to all correspondence, accounts and administration of farm.","",""
6121.0100-t17,612,"Farmer, Livestock","Ensures proper cleaning of sheds and stable, flaying of skins and hides of fallen animals, disposal of carcasses etc. as necessary.","",""
6121.0100-t18,612,"Farmer, Livestock",May raise particular breeds of animal.,"",""
6121.0100-t19,612,"Farmer, Livestock",May raise and exhibit sho w animals.,"",""
6121.0100-t20,612,"Farmer, Livestock",May grow and cultivate feed for animals.,"",""
6130.0100-t01,613,Artificial Breeding Technician Artificial-Breeding Technician,"collects and packages bull semen for artificial insemination of cows: Attaches rubber collecting sheath to genital organ of tethered bull, and stimulates animal's organ to excite ejaculation.","",""
6130.0100-t02,613,Artificial Breeding Technician Artificial-Breeding Technician,"Examines semen, using microscope, to determine density and motility of gametes, and dilutes semen with prescribed diluents according to formulas.","",""
6130.0100-t03,613,Artificial Breeding Technician Artificial-Breeding Technician,"Transfers required amount of semen to container, using titration tube, and labels it with identifying data, such as date taken, source, quality, and concentration, and records similar data on file cards.","",""
6130.0100-t04,613,Artificial Breeding Technician Artificial-Breeding Technician,Packs container of semen in dry ice or liquid nitrogen for freezing and storage or shipment.,"",""
6130.0100-t05,613,Artificial Breeding Technician Artificial-Breeding Technician,May inseminate cows.,"",""
6310.0100-t01,631,Tree Trimmer and Pruner,"Cuts away dead or excess branches from trees or shrubs to maintain right-of-way for roads, sidewalks, or utilities, or to improve appearance, health, and value of tree.","",""
6310.0100-t02,631,Tree Trimmer and Pruner,"Prunes or treats trees or shrubs using handsaws, pruning hooks, sheers, and clippers.","",""
6310.0100-t03,631,Tree Trimmer and Pruner,"May use pruning hooks, sheers, and clippers.","",""
6310.0100-t04,631,Tree Trimmer and Pruner,Climb struck-mounted lifts and power pruners.,"",""
6310.0100-t05,631,Tree Trimmer and Pruner,May fill cavities in trees to promote healing and prevent deterioration.,"",""
6310.0100-t06,631,Tree Trimmer and Pruner,"Cuts away dead and excess branches from trees, using handsaws, trees, using climbing hooks and belts, or climbs ladders to gain access to work area.","",""
6310.0100-t07,631,Tree Trimmer and Pruner,"Prunes, cuts down, fertilizes, and sprays trees as directed by tree surgeon.","",""
6310.0100-t08,631,Tree Trimmer and Pruner,Uses truck-mounted hydraulic lifts and pruners and power pruners.,"",""
6310.0100-t09,631,Tree Trimmer and Pruner,Scrapes decayed matter from cavities in trees and fills holes with cement to promote healing and to prevent further deterioration.,"",""
6310.0100-t10,631,Tree Trimmer and Pruner,Applies tar or other protective substances to cut surfaces to seal surfaces against insects.,"",""
6224.0300-t01,622,Trappers,"catches birds or wild animals alive by means of traps, snares and nets for treatment and tagging.","",""
